main_headline,classification,year
DISTRIBUTED MARKETS.,1,1900
Caldwell Defeated Miller.,1,1900
TO OPEN COMMUNICATION.,1,1900
TO COMMAND MARINES IN CHINA.,1,1900
Front Page 12 -- No Title,1,1900
Incorporated in Delaware.,1,1900
KILLED TAKING A HURDLE.; Miss Blake of Boston Loses Her Life at the Holloway Stock Farm.,1,1900
MR. LILLY'S JUNK.; His Neighbors in Greenwich in Court Over Ancient Articles.,1,1900
TOPICS OF THE TIMES.,1,1900
New National Banks Organized.,1,1900
FOREIGNERS HELD AS HOSTAGES.,1,1900
THE UNITED SERVICE.,1,1900
J. Reiff Rode Four Winners.,1,1900
SUPERINTENDENT BROCKWAY.,1,1900
Queen's Statue Defaced.,1,1900
Anarchist Orders from Paterson.,1,1900
Editorial Article 1 -- No Title,1,1900
OUTSIDE SECURITIES.,1,1900
MESSAGE FROM SIR ROBERT HART.,1,1900
"A SUBTERRANEAN DUEL.; Fierce Conflict Between Miners 2,000 Feet Under Ground -- One Badly Wounded.",1,1900
Linseed Oil's Statement.,1,1900
RUSSIAN OPERATIONS IN AMUR.,1,1900
BOSTON STOCK MARKET.,1,1900
THE ROYAL FUNERAL.; Will Occur In Rome -- Emperor William to Attend -- LI-Hung-Chang's Condolences.,1,1900
"KING VICTOR IN ITALY; Arrived in Reggio and Started at Once for Rome. MINISTRY ISSUES MANIFESTO Humbert's Body to be Taken to Rome, Attended by the Queen -- Army Takes Oath of Allegiance.",1,1900
Newport Golf Club Matches.,1,1900
CANTON REPORTED QUIET.,1,1900
FOUR LEGATIONS DESTROYED.,1,1900
Front Page 4 -- No Title,1,1900
MINISTER CONGER'S REPORT.,1,1900
SHAOWU MISSION DESTROYED.,1,1900
CHICAGO QUOTATIONS.,1,1900
Other Fields.,1,1900
Front Page 6 -- No Title,1,1900
Obituary 1 -- No Title,1,1900
SPECIAL FRANCHISE TAX LAW.; State Board Compelled to Review Assessments on Railway Properties.,1,1900
DETAILS OF ALLEGED PLOT.,1,1900
Obituary 2 -- No Title,1,1900
ANOTHER APPEAL TO THE CZAR.,1,1900
Steel Men to Meet in New York.,1,1900
Front Page 10 -- No Title,1,1900
BAR HARBOR CASINO PROJECT.,1,1900
Requiem Mass to be Composed.,1,1900
MARKET QUOTATIONS REFUSED.; Chicago Central Stock and Gram Exchange Accused of Bucket Shopping.,1,1900
BRITISH WANT NO DELAY.,1,1900
"DR. S.A. KNOPF'S PRIZE.; Receives 4,000 Marks for His Essay on Tuberculosis -- Were Eighty-one Competitors.",1,1900
CANTACUZENE HAS AN HEIR.,1,1900
THE PRESIDENT RETURNING.,1,1900
Yacht Races on Chippewa Bay.,1,1900
Front Page 9 -- No Title,1,1900
FURTHER ATTACKS NOT LIKELY.,1,1900
GERMAN CHESS TOURNAMENT.,1,1900
Front Page 5 -- No Title,1,1900
MAY ASK CHINA TO CO-OPERATE,1,1900
A.D. White Sails for Home.,1,1900
THE LONDON MARKET.,1,1900
CHINA'S TREATY OBLIGATIONS.,1,1900
Front Page 8 -- No Title,1,1900
THE ICE TRUST ACCUSED.; Charged with Hiring a Man to Impersonate Another.,1,1900
GERMANS URGE AN ADVANCE.,1,1900
RESCUED BY A CADET.; Two Girls Saved from Drowning at Oakland Bench.,1,1900
ANOTHER CHINESE EDICT.,1,1900
PHILADELPHIA PRICES.,1,1900
REBELS SURROUND PAO-TING-FOO.,1,1900
Wentworth Tennis Tournament.,1,1900
In Continental Centres.,1,1900
PETTIGREW WITH THE BOERS.; Son of the Senator Reported to Have Joined Gen. Botha's Staff.,1,1900
THE NEWS OF NEWPORT.,1,1900
ELEVATED ROAD FORECLOSED.; Appellate Court in Chicago Confirms Decree In Alley Road Controversy.,1,1900
"DUPED THE BARTENDERS; Shrewd Swindler in Dress Suit Worked the Tenderloin. USED A ""PHONY"" WATCH Collateral Worth About 75 Cents Exchanged for $10 and $20 Notes in Broadway Saloons.",1,1900
Saratoga Races Begin To-day.,1,1900
DEFENDS OREGON'S OFFICERS.,1,1900
GERMAN MAY COMMAND ALLIES,1,1900
NO CIPHER MESSAGES ALLOWED.,1,1900
Front Page 3 -- No Title,1,1900
Convention Table Stolen.,1,1900
YONKERS COUPLE MARRY HERE.; G.H. Thomas and Miss Hollins Suddenly Conclude to Wed.,1,1900
Roosevelt Invited to Kentucky.,1,1900
Front Page 2 -- No Title,1,1900
GOVERNOR VISITS TARS' CAMP.,1,1900
"THE BOER SURRENDER.; Less than 1,000 Laid Down Their Arms -- Lord Roberts Tells Hunter to Go After the Others.",1,1900
CONDITION OF SAVINGS BANKS.,1,1900
"ALTGELD CURED BY ROOSEVELT.; Was Ill, but Governor's Speech Moved Him to Engage to Reply.",1,1900
MARKET CONDITIONS.,1,1900
"MINISTER CONGER REPORTS ALL WELL; Dispatch Says the Besieged Have Ample Provisions. TRUCE WITH ATTACKERS Firing on Legations Ceased July 16 ""by Agreement."" OTHER DETAILED DISPATCHES Japanese Legation Reports Conditions July 22 -- Big Battle Reported at Niu-Chwang Between Rus- sians and Chinese.",1,1900
SALISBURY ON ANARCHISM.,1,1900
LINCOLN'S MOTHER'S MONUMENT.,1,1900
French Troops Leave for China.,1,1900
ADVISES AGAINST ADVANCE.,1,1900
Article 1 -- No Title,1,1900
British Court in Mourning.,1,1900
Front Page 11 -- No Title,1,1900
THE FOREIGNERS' SITUATION.,1,1900
